               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11078,            0.037013,            0.035689,           0.0060927,             0.26218,            0.015921,           0.0036261,            0.091322,             0.03524,            0.026552,           0.0032456,           0.0032456,            0.070789
                   1,            0.087812,            0.036258,            0.021165,             0.72813,             0.08459,            0.038484,            0.010549,            0.097481,            0.025657,             0.02138,           0.0065138,           0.0065138,            0.040724
                   2,            0.086809,            0.029553,              0.0186,             0.73255,             0.11291,            0.048808,              0.0135,            0.082509,            0.021763,            0.019722,            0.009716,            0.009716,            0.010593
                   3,            0.078531,            0.028008,            0.017363,             0.45745,             0.29675,             0.10921,            0.029882,            0.074035,            0.024125,            0.018526,            0.009703,            0.009703,            0.009703
                   4,            0.065183,            0.028885,            0.016454,             0.44275,             0.31071,             0.14799,            0.041486,            0.073263,            0.023522,            0.016358,            0.009703,            0.009703,            0.009703
                   5,            0.059128,            0.028291,            0.014164,             0.63022,             0.42578,             0.35114,             0.11811,            0.058752,            0.022036,            0.013942,            0.009604,            0.009604,            0.009604
                   6,            0.058961,            0.026088,            0.013427,             0.77007,             0.39651,             0.43295,             0.15375,            0.050807,            0.020702,            0.012237,            0.009505,            0.009505,            0.009505
                   7,            0.051247,             0.02593,            0.012031,             0.80892,             0.41981,             0.45973,             0.20504,            0.049458,            0.019829,            0.010511,            0.009406,            0.009406,            0.009406
                   8,            0.050442,            0.026436,            0.010175,             0.87214,             0.42008,             0.50107,             0.23318,            0.043107,            0.019525,           0.0095897,            0.009307,            0.009307,            0.009307
                   9,            0.043783,            0.023028,           0.0091282,             0.84152,             0.41691,             0.48849,             0.23653,            0.040647,            0.019509,            0.010076,            0.009208,            0.009208,            0.009208
                  10,            0.042249,             0.02217,            0.008971,             0.78042,             0.47053,             0.49179,             0.23244,            0.043961,            0.018862,            0.008597,            0.009109,            0.009109,            0.009109
                  11,            0.040782,            0.024149,           0.0089043,             0.85128,             0.42371,             0.49801,             0.25558,            0.041357,            0.019267,            0.011369,             0.00901,             0.00901,             0.00901
                  12,            0.041797,            0.023164,           0.0085955,             0.87219,              0.4352,             0.51535,             0.26503,            0.045085,            0.019139,           0.0087032,            0.008911,            0.008911,            0.008911
                  13,            0.040366,            0.022783,           0.0080501,             0.89713,             0.46338,             0.55853,             0.29923,            0.039647,            0.018729,           0.0084443,            0.008812,            0.008812,            0.008812
                  14,            0.041312,            0.023295,           0.0085638,             0.88844,             0.47332,             0.58159,             0.29969,            0.039359,            0.018138,           0.0074436,            0.008713,            0.008713,            0.008713
                  15,            0.036962,            0.023445,            0.007546,             0.87463,             0.44678,             0.54495,             0.28992,            0.038495,            0.018387,           0.0087467,            0.008614,            0.008614,            0.008614
                  16,            0.037245,             0.02157,           0.0075339,              0.8489,             0.48677,             0.59366,             0.30615,            0.038838,            0.018588,           0.0079173,            0.008515,            0.008515,            0.008515
                  17,            0.037664,            0.022257,           0.0072714,             0.87344,             0.48414,             0.58314,             0.30079,            0.039084,            0.018147,           0.0071496,            0.008416,            0.008416,            0.008416
                  18,            0.035593,            0.021959,           0.0072113,             0.87092,             0.50579,             0.64277,             0.34355,             0.03637,            0.018411,           0.0081499,            0.008317,            0.008317,            0.008317
                  19,            0.034281,            0.021923,           0.0070653,             0.90161,             0.48325,              0.6327,             0.34787,            0.035643,            0.018064,            0.007313,            0.008218,            0.008218,            0.008218
                  20,            0.036239,            0.022706,           0.0071297,             0.88071,             0.49696,             0.63789,             0.37005,            0.032944,            0.017722,           0.0076205,            0.008119,            0.008119,            0.008119
                  21,            0.034657,            0.022829,           0.0062302,             0.55669,             0.60905,             0.61465,             0.32717,            0.037106,            0.018278,           0.0071713,             0.00802,             0.00802,             0.00802
                  22,            0.034114,            0.022105,           0.0065501,             0.88768,             0.49408,             0.61411,             0.33563,            0.033756,            0.017917,            0.007107,            0.007921,            0.007921,            0.007921
                  23,            0.034715,              0.0215,           0.0070295,             0.64072,             0.59155,             0.60575,             0.33309,             0.03625,            0.018137,           0.0071432,            0.007822,            0.007822,            0.007822
                  24,            0.033885,            0.021476,           0.0066654,              0.5621,             0.62238,             0.62795,             0.35004,            0.034799,            0.018236,           0.0070497,            0.007723,            0.007723,            0.007723
                  25,            0.032752,            0.021206,            0.006515,             0.64073,             0.59773,             0.63012,             0.36043,            0.033489,            0.018041,           0.0074157,            0.007624,            0.007624,            0.007624
                  26,            0.033969,            0.021672,            0.006321,             0.65928,             0.62661,             0.64588,             0.36649,            0.033464,            0.017759,           0.0074548,            0.007525,            0.007525,            0.007525
                  27,            0.033531,            0.021956,            0.005976,              0.7309,             0.59153,             0.62776,             0.34184,            0.035373,            0.018181,           0.0074818,            0.007426,            0.007426,            0.007426
                  28,            0.033172,            0.020114,           0.0060882,             0.72724,             0.61454,              0.6506,             0.37211,            0.033269,            0.018134,           0.0067322,            0.007327,            0.007327,            0.007327
                  29,            0.032403,            0.022118,           0.0058563,              0.8113,             0.63781,             0.67375,             0.39191,            0.032041,            0.017436,           0.0069352,            0.007228,            0.007228,            0.007228
                  30,            0.033414,            0.022679,           0.0058141,             0.77889,             0.64069,             0.66724,             0.36706,            0.034183,              0.0177,           0.0068304,            0.007129,            0.007129,            0.007129
                  31,            0.031331,            0.021076,           0.0046594,             0.78477,             0.65185,             0.67642,             0.38679,            0.032485,            0.017461,           0.0067527,             0.00703,             0.00703,             0.00703
                  32,            0.033097,            0.021326,           0.0058667,             0.68257,             0.60726,             0.64339,             0.36543,            0.033477,            0.017492,           0.0072128,            0.006931,            0.006931,            0.006931
                  33,             0.02985,            0.019412,           0.0056383,              0.6983,             0.63858,             0.66736,             0.39592,            0.032567,            0.017547,           0.0066386,            0.006832,            0.006832,            0.006832
                  34,             0.03096,             0.02052,           0.0051774,             0.82204,             0.64768,             0.68218,              0.3982,             0.03331,             0.01771,           0.0073984,            0.006733,            0.006733,            0.006733
                  35,            0.031707,            0.022604,           0.0049489,              0.8252,             0.60575,             0.64271,             0.36998,            0.032687,            0.017545,           0.0075832,            0.006634,            0.006634,            0.006634
                  36,            0.030738,            0.020177,           0.0050539,             0.70755,             0.60388,             0.64185,             0.37554,            0.032997,            0.017463,           0.0064427,            0.006535,            0.006535,            0.006535
                  37,            0.028279,            0.019285,           0.0050561,             0.77312,             0.59344,             0.64631,             0.37336,            0.032078,            0.017657,           0.0066282,            0.006436,            0.006436,            0.006436
                  38,            0.028913,            0.020026,           0.0044083,              0.8664,             0.62188,             0.67648,             0.40566,            0.032159,            0.017442,           0.0058772,            0.006337,            0.006337,            0.006337
                  39,            0.029273,            0.018984,           0.0045307,             0.77244,             0.64478,             0.68238,             0.39269,            0.032894,            0.017542,           0.0060026,            0.006238,            0.006238,            0.006238
                  40,            0.030314,            0.019963,           0.0045926,             0.77148,             0.62471,             0.67626,             0.39599,            0.031376,            0.017433,           0.0063916,            0.006139,            0.006139,            0.006139
                  41,            0.029481,            0.020409,           0.0040311,             0.79232,             0.63805,             0.69557,              0.3891,            0.031072,            0.017522,           0.0060528,             0.00604,             0.00604,             0.00604
                  42,            0.029748,            0.020099,           0.0041355,             0.75673,             0.64116,             0.69355,             0.42276,            0.031998,            0.017388,           0.0063345,            0.005941,            0.005941,            0.005941
                  43,            0.028374,            0.019456,           0.0036921,             0.87148,                0.64,             0.71019,             0.41767,            0.031512,            0.017314,           0.0057387,            0.005842,            0.005842,            0.005842
                  44,            0.029732,            0.020119,           0.0046081,             0.71232,              0.6386,             0.68571,             0.40053,            0.030598,            0.017535,           0.0065415,            0.005743,            0.005743,            0.005743
                  45,            0.027749,            0.018544,           0.0039206,             0.85682,             0.59011,             0.68189,             0.39088,            0.030712,            0.017799,           0.0061668,            0.005644,            0.005644,            0.005644
                  46,            0.027664,            0.019632,           0.0035075,             0.79113,             0.62557,             0.67426,             0.41297,            0.030938,            0.017698,           0.0064121,            0.005545,            0.005545,            0.005545
                  47,            0.027768,             0.01988,           0.0038695,             0.83738,             0.62996,             0.71719,             0.42745,             0.03008,            0.017375,           0.0058488,            0.005446,            0.005446,            0.005446
                  48,            0.027642,            0.019572,              0.0033,             0.86011,             0.59093,             0.69982,             0.41293,            0.031545,            0.017803,           0.0074904,            0.005347,            0.005347,            0.005347
                  49,            0.028744,             0.02181,           0.0038878,             0.84228,             0.61675,             0.70414,             0.42138,            0.031018,            0.017351,           0.0063327,            0.005248,            0.005248,            0.005248
                  50,            0.027157,            0.018992,           0.0036748,             0.76491,             0.65362,             0.70788,             0.40749,            0.031218,            0.017437,            0.006083,            0.005149,            0.005149,            0.005149
                  51,            0.027805,            0.019087,           0.0037487,              0.7592,             0.63274,             0.69134,             0.41194,             0.03043,            0.017425,           0.0063608,             0.00505,             0.00505,             0.00505
                  52,            0.025841,            0.017648,           0.0032806,             0.76969,             0.66242,             0.70296,             0.40958,            0.030987,            0.017553,           0.0059329,            0.004951,            0.004951,            0.004951
                  53,            0.026473,            0.019538,           0.0036977,             0.73079,             0.68909,              0.7118,             0.42606,            0.030284,            0.017675,           0.0065668,            0.004852,            0.004852,            0.004852
                  54,            0.027584,            0.018418,           0.0031846,             0.76758,             0.68024,             0.71404,             0.42273,            0.030793,            0.017459,           0.0060004,            0.004753,            0.004753,            0.004753
                  55,            0.026599,            0.019298,           0.0035781,             0.89637,             0.59774,             0.69801,             0.42066,            0.029907,            0.017116,           0.0059258,            0.004654,            0.004654,            0.004654
                  56,            0.026182,            0.018957,           0.0030513,             0.80854,             0.64058,             0.70049,             0.41472,            0.031162,            0.017231,           0.0062723,            0.004555,            0.004555,            0.004555
                  57,            0.026183,            0.018441,           0.0030806,             0.77193,             0.61091,             0.68809,             0.40587,            0.030791,            0.017603,           0.0077155,            0.004456,            0.004456,            0.004456
                  58,            0.025941,            0.018647,           0.0029902,             0.86135,             0.65342,              0.7217,             0.43493,            0.030291,            0.017463,            0.005712,            0.004357,            0.004357,            0.004357
                  59,             0.02507,            0.018723,           0.0029837,             0.81195,             0.65376,              0.7094,             0.44439,            0.029077,            0.017398,           0.0061265,            0.004258,            0.004258,            0.004258
                  60,            0.025589,            0.017613,           0.0026631,             0.86971,             0.61642,             0.71485,             0.44308,            0.029778,              0.0176,           0.0057039,            0.004159,            0.004159,            0.004159
                  61,             0.02594,            0.017537,           0.0027831,             0.87424,              0.6347,             0.70747,              0.4174,            0.029945,            0.017487,           0.0064124,             0.00406,             0.00406,             0.00406
                  62,            0.025496,            0.017991,            0.002574,             0.82581,             0.65152,             0.71182,              0.4267,            0.029236,            0.017354,           0.0062538,            0.003961,            0.003961,            0.003961
                  63,            0.025403,            0.019582,           0.0028062,             0.84049,              0.6424,             0.71334,             0.43869,            0.029345,            0.017081,           0.0064088,            0.003862,            0.003862,            0.003862
                  64,            0.025418,            0.018063,           0.0028706,             0.89511,               0.634,             0.71286,             0.42485,            0.030802,             0.01754,           0.0068314,            0.003763,            0.003763,            0.003763
